term,def,emoji,courses,key,aliases,icon_type
cell,"The basic unit of life — all living things are made of cells",🔬,biology,true,"cells",cell
prokaryotic,"A cell with NO nucleus and NO membrane-bound organelles. Example: bacteria.",🦠,biology,true,"prokaryotic cells|prokaryote|prokaryotes",prokaryotic
eukaryotic,"A cell WITH a nucleus and WITH membrane-bound organelles. Example: plant and animal cells.",🧫,biology,true,"eukaryotic cells|eukaryote|eukaryotes",eukaryotic
organelle,"A small structure inside a cell that has a specific job — means ""little organ""",⚙️,biology,true,"organelles",organelle
nucleus,"The dense center — in a cell, the control center holding DNA; in an atom, the core containing protons and neutrons",🎯,"biology,sheltered-chemistry",true,"",nucleus
dna,"The molecule that carries genetic instructions for life — shaped like a twisted ladder (double helix)",🧬,biology,true,"",dna
chromatin,"DNA in its spread-out, tangled form — like a messy pile of yarn",🧶,biology,true,"",chromatin
chromosome,"DNA coiled up tightly into a compact X or rod shape — happens when a cell is ready to divide",✖️,biology,true,"chromosomes",chromosome
ribosome,"A tiny machine that builds proteins — made in the nucleolus",🔩,biology,true,"ribosomes",ribosome
cell membrane,"The flexible outer boundary of ALL cells — controls what enters and leaves",🛡️,biology,true,"",cell_membrane
cytoplasm,"The jelly-like fluid filling the cell — everything between the membrane and the nucleus",💧,biology,true,"",cytoplasm
endomembrane system,"The network of organelles that builds, processes, and ships proteins — includes ER, Golgi, and vesicles",🏭,biology,true,"",endomembrane
rough er,"Network of folded membranes covered in ribosomes — folds and transports proteins (the ""highway"")",🛣️,biology,true,"rough endoplasmic reticulum|endoplasmic reticulum",rough_er
golgi apparatus,"Stacked membranes that modify, package, and sort proteins for delivery — the ""packaging center""",📦,biology,true,"golgi|golgi body",golgi
vesicle,"A small membrane bubble that carries materials between organelles",🫧,biology,true,"vesicles",vesicle
lysosome,"Organelle that breaks down waste, damaged parts, and foreign invaders — the ""garbage collector""",🗑️,biology,true,"lysosomes",lysosome
mitochondria,"Organelle that converts glucose into ATP energy — the ""engine"" or ""powerhouse"" of the cell",🔋,biology,true,"mitochondrion",mitochondria
chloroplast,"Organelle that captures sunlight to make glucose through photosynthesis — only in plant cells",☀️,biology,true,"chloroplasts",chloroplast
atp,"The energy molecule cells use to do work — like a rechargeable battery",⚡,biology,true,"",atp
chlorophyll,"The green pigment inside chloroplasts that absorbs sunlight energy",🌿,biology,true,"",chlorophyll
cell wall,"A thick, rigid outer layer made of cellulose — gives plant cells their square shape",🧱,biology,true,"",cell_wall
central vacuole,"One very large water storage compartment in plant cells — keeps the plant firm when full",💧,biology,true,"vacuole|vacuoles",central_vacuole
turgor pressure,"The pressure of water inside the central vacuole pushing against the cell wall — keeps plants firm",💪,biology,true,"",turgor
cellulose,"The material that makes plant cell walls rigid — gives plants structural support",🌾,biology,true,"",cellulose
centrioles,"Small structures in animal cells that help organize cell division",🎯,biology,true,"centriole",centrioles
photosynthesis,"The process by which plants use sunlight to convert CO₂ and water into glucose and oxygen",☀️,biology,true,"",photosynthesis
cellular respiration,"The process by which cells break down glucose to release ATP energy — happens in mitochondria",🔥,biology,true,"",cellular_respiration
nucleolus,"A small, dense area inside the nucleus where ribosomes are made",⚫,biology,true,"",nucleolus
nuclear envelope,"The double membrane surrounding the nucleus — has pores that let messages in and out",🔲,biology,true,"",nuclear_envelope
phospholipid,"A lipid with a hydrophilic phosphate head and two hydrophobic fatty acid tails — the building block of cell membranes",🧪,biology,true,"phospholipids",phospholipid
phospholipid bilayer,"Two layers of phospholipids arranged tail-to-tail — the basic structure of all cell membranes",🧬,biology,true,"bilayer",bilayer
hydrophilic,"Water-loving — dissolves in or is attracted to water (polar or charged molecules)",💧,biology,true,"",hydrophilic
hydrophobic,"Water-fearing — does NOT dissolve in water (nonpolar molecules like oils and fats)",🛢️,biology,true,"",hydrophobic
amphipathic,"Having both a water-loving (hydrophilic) part and a water-fearing (hydrophobic) part in the same molecule",↔️,biology,true,"amphiphilic",amphipathic
semi-permeable,"Allows some materials through but not others — 'semi' means partial",🚧,biology,true,"selectively permeable|semi permeable",semi_permeable
fluid mosaic model,"The scientific model of the cell membrane — 'fluid' because parts move freely, 'mosaic' because it has many different pieces",🎨,biology,true,"",fluid_mosaic
cholesterol,"A molecule that sits between phospholipids and stabilizes the membrane — keeps it not too stiff and not too loose",⚖️,biology,true,"",cholesterol
integral protein,"A protein permanently embedded in the membrane — often goes all the way through both layers",🔩,biology,true,"integral proteins|transmembrane protein|transmembrane proteins",integral_protein
peripheral protein,"A protein that sits on the surface of the membrane — only temporarily attached, does not go through the bilayer",📎,biology,true,"peripheral proteins",peripheral_protein
glycoprotein,"A protein with carbohydrate (sugar) chains attached — acts as an ID tag on the cell surface",🏷️,biology,true,"glycoproteins",glycoprotein
glycolipid,"A lipid with carbohydrate (sugar) chains attached — part of the cell's identity coating on the outer surface",🏷️,biology,true,"glycolipids",glycolipid
glycocalyx,"The sugar-coated outer surface of a cell made of glycoproteins and glycolipids — like an ID card that the immune system reads",🪪,biology,true,"cell coat",glycocalyx
channel protein,"A membrane protein that forms a tunnel (pore) for specific ions or small molecules to pass through",🚇,biology,true,"channel proteins",channel_protein
carrier protein,"A membrane protein that grabs a molecule, changes shape, and releases it on the other side of the membrane",🔄,biology,true,"carrier proteins|pump protein|pump proteins",carrier_protein
receptor protein,"A membrane protein that receives chemical signals from outside the cell and triggers a response inside",📡,biology,true,"receptor proteins|receptors",receptor_protein
chemical reaction,"A process where atoms rearrange — bonds break and new bonds form, turning reactants into products",⚗️,biology,true,"chemical reactions|reactions",chemical_reaction
reactant,"A starting substance in a chemical reaction — what you begin with",📥,biology,true,"reactants|reactivos",reactant
product,"A new substance formed at the end of a chemical reaction",📤,biology,true,"products|productos",product
activation energy,"The minimum energy needed to start a chemical reaction — like pushing a boulder up a hill",⛰️,biology,true,"energia de activacion",activation_energy
catalyst,"A substance that speeds up a chemical reaction by lowering activation energy, without being used up",🚀,biology,true,"catalysts|catalizador",catalyst
enzyme,"A protein that acts as a biological catalyst — speeds up reactions by lowering activation energy",🧬,biology,true,"enzymes|enzima",enzyme
active site,"The specific pocket or groove on an enzyme where the substrate fits and the reaction happens",🔑,biology,true,"",active_site
substrate,"The molecule that fits into an enzyme's active site and gets changed by the reaction",🧩,biology,true,"substrates|sustrato",substrate
denaturation,"When a protein loses its 3D shape and stops working — like bending a key so it no longer fits",🥚,biology,true,"denature|denatured|desnaturalizacion",denaturation
optimal temperature,"The temperature at which an enzyme works best — for human enzymes, around 37°C",🌡️,biology,true,"",optimal_temperature
optimal ph,"The pH at which an enzyme works best — different enzymes have different optimal pH values",⚖️,biology,true,"optimum pH",optimal_ph
hydrogen bonds,"Weak bonds that hold a protein's 3D shape together — break during denaturation",🔗,biology,true,"hydrogen bond",hydrogen_bonds
lock-and-key model,"A model where the enzyme and substrate fit together perfectly, like a key into a lock",🔐,biology,true,"lock and key",lock_and_key
induced fit model,"A model where the enzyme changes shape slightly to grip the substrate tighter — like a glove tightening",🤝,biology,true,"induced fit",induced_fit

chemical reaction,"A process where atoms rearrange — bonds break and new bonds form, turning reactants into products",⚗️,biology,true,"chemical reactions|reactions",chemical_reaction
reactant,"A starting substance in a chemical reaction — what you begin with",📥,biology,true,"reactants|reactivos",reactant
product,"A new substance formed at the end of a chemical reaction",📤,biology,true,"products|productos",product
activation energy,"The minimum energy needed to start a chemical reaction — like pushing a boulder up a hill",⛰️,biology,true,"energia de activacion",activation_energy
catalyst,"A substance that speeds up a chemical reaction by lowering activation energy, without being used up",🚀,biology,true,"catalysts|catalizador",catalyst
brownian motion,"The random bouncing movement of tiny molecules — like a room full of bouncy balls",🎱,biology,false,"",brownian_motion
enzyme,"A protein that acts as a biological catalyst — speeds up reactions by lowering activation energy",🧬,biology,true,"enzymes|enzima",enzyme
active site,"The specific pocket or groove on an enzyme where the substrate fits and the reaction happens",🔑,biology,true,"",active_site
substrate,"The molecule that fits into an enzyme's active site and gets changed by the reaction",🧩,biology,true,"substrates|sustrato",substrate
lock-and-key model,"A model where the enzyme and substrate fit together perfectly, like a key into a lock",🔐,biology,true,"lock and key",lock_and_key
induced fit model,"A model where the enzyme changes shape slightly to grip the substrate tighter — like a glove tightening",🤝,biology,true,"induced fit",induced_fit
denaturation,"When a protein loses its 3D shape and stops working — like bending a key so it no longer fits the lock",🥚,biology,true,"denature|denatured|desnaturalizacion",denaturation
optimal temperature,"The temperature at which an enzyme works best — for human enzymes, around 37°C",🌡️,biology,true,"",optimal_temperature
optimal ph,"The pH at which an enzyme works best — different enzymes have different optimal pH values",⚖️,biology,true,"optimum pH",optimal_ph
hydrogen bonds,"Weak bonds that hold a protein's 3D shape together — they break when conditions change too much",🔗,biology,true,"hydrogen bond",hydrogen_bonds
macromolecule,"A very large molecule made of smaller repeating units (monomers) — the four types are carbohydrates, lipids, proteins, and nucleic acids",🔬,biology,true,"macromolecules",macromolecule
monomer,"A small molecule that bonds with others to form a polymer — the building block",🧱,biology,true,"monomers",monomer
polymer,"A large molecule made of many monomers bonded together in a chain",🔗,biology,true,"polymers",polymer
monosaccharide,"A simple sugar — the building block (monomer) of carbohydrates. Examples: glucose, fructose",🍬,biology,true,"monosaccharides|simple sugar|simple sugars",monosaccharide
polysaccharide,"A long chain of many sugar monomers bonded together — examples: starch, glycogen, cellulose",🔗,biology,true,"polysaccharides",polysaccharide
triglyceride,"A fat molecule made of one glycerol and three fatty acid chains — stores long-term energy",🧈,biology,true,"triglycerides|triacylglycerol",triglyceride
amino acid,"The building block (monomer) of proteins — there are 20 types, each with a unique R group (side chain)",🧩,biology,true,"amino acids|aminoacid",amino_acid
r group,"The side chain of an amino acid that makes it unique — determines if it is polar, nonpolar, acidic, or basic",🔀,biology,true,"side chain|r-group",r_group
nucleotide,"The building block (monomer) of DNA and RNA — made of a phosphate group, a sugar, and a nitrogenous base",🧬,biology,true,"nucleotides",nucleotide
double helix,"The twisted ladder shape of DNA — two sugar-phosphate backbones connected by base pairs",🌀,biology,true,"",double_helix
complementary base pairing,"The rule that A always pairs with T (or U in RNA) and G always pairs with C",🔀,biology,true,"base pairing rules|base pair|base pairs",complementary_base_pairing
nitrogenous base,"The part of a nucleotide that carries the genetic 'letter' — A, T, G, C in DNA or A, U, G, C in RNA",🔤,biology,true,"nitrogenous bases|base|bases",nitrogenous_base
passive transport,"Movement of molecules from high to low concentration — no energy needed (down the gradient)",⬇️,biology,true,"",passive_transport
active transport,"Movement of molecules from low to high concentration — requires ATP energy (against the gradient)",⬆️,biology,true,"",active_transport
osmosis,"The diffusion of water across a membrane — water moves toward the side with more dissolved particles (solute)",💧,biology,true,"",osmosis
endocytosis,"The process where the cell membrane wraps around material to bring it INTO the cell",📥,biology,true,"",endocytosis
exocytosis,"The process where a vesicle fuses with the cell membrane to push material OUT of the cell",📤,biology,true,"",exocytosis
chaperone protein,"A protein that helps other proteins fold correctly by providing a protected environment",🤝,biology,true,"chaperone proteins|chaperones|chaperonin",chaperone_protein
saturated fat,"A fat with NO double bonds between carbons — straight chains pack tightly, so it is solid at room temperature",🧱,biology,true,"saturated fats|saturated fatty acid",saturated_fat
unsaturated fat,"A fat with one or more double bonds — kinked chains cannot pack tightly, so it is liquid at room temperature",〰️,biology,true,"unsaturated fats|unsaturated fatty acid",unsaturated_fat
covalent bond,"A bond where atoms share electrons — the strongest type of bond within a molecule",🔗,biology,true,"covalent bonds",covalent_bond
polar molecule,"A molecule with a slightly positive end and a slightly negative end because electrons are shared unequally — like a tiny magnet",🧲,biology,true,"polar molecules|polarity|dipole",polar_molecule
cohesion,"The attraction between molecules of the SAME substance — water sticking to water due to hydrogen bonds",💧,biology,true,"cohesive",cohesion
adhesion,"The attraction between molecules of DIFFERENT substances — water sticking to glass, paper, or plant tubes",🫗,biology,true,"adhesive",adhesion
surface tension,"A 'skin' on the water's surface caused by extra hydrogen bonds between surface molecules — lets insects walk on water",🕷️,biology,true,"",surface_tension
capillary action,"The ability of water to move upward through narrow tubes against gravity — uses adhesion and cohesion together",🌱,biology,true,"capillarity",capillary_action
specific heat,"The amount of energy needed to raise the temperature of a substance — water's is very high because energy breaks hydrogen bonds first",🌡️,biology,true,"heat capacity|specific heat capacity",specific_heat
evaporative cooling,"When water evaporates it takes heat energy with it and cools what's left behind — this is how sweating cools your body",💨,biology,true,"evaporation|evaporative",evaporative_cooling
xylem,"The tissue in plants that transports water and minerals upward from roots to leaves — like tiny straws inside the stem",🌿,biology,true,"",xylem
homeostasis,"Maintaining stable internal conditions — your body constantly works to keep temperature, pH, and water balance in a narrow range",⚖️,biology,true,"homeostatic",homeostasis
atom,"The smallest unit of an element — made of protons, neutrons, and electrons",⚛️,sheltered-chemistry,true,"atoms",atom
